WARNING 2019-05-26 21:04:55,408 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2045
WARNING 2019-05-26 21:04:55,392 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:04:55,416 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:04:55,428 log 228 Not Found: /images/linux.jpg
WARNING 2019-05-26 21:04:55,428 log 228 Not Found: /images/dianshang.png
WARNING 2019-05-26 21:04:55,436 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 21:04:55,442 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:04:55,445 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:04:55,451 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 21:04:55,486 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:04:55,452 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 21:04:55,464 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 21:04:55,461 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 21:04:55,502 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 21:04:55,503 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 21:04:55,505 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:04:55,515 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 21:04:55,516 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 21:04:55,516 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2072
WARNING 2019-05-26 21:04:55,518 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
WARNING 2019-05-26 21:04:55,523 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
INFO 2019-05-26 21:05:14,129 basehttp 154 "GET / HTTP/1.1" 200 16888
WARNING 2019-05-26 21:05:14,170 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:05:14,173 log 228 Not Found: /css/base/side.css
WARNING 2019-05-26 21:05:14,176 log 228 Not Found: /..static/css/base/reset.css
WARNING 2019-05-26 21:05:14,185 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 21:05:14,190 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 21:05:14,193 log 228 Not Found: /css/news/index.css
WARNING 2019-05-26 21:05:14,194 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:05:14,203 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 21:05:14,202 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2045
WARNING 2019-05-26 21:05:14,200 basehttp 154 "GET /..static/css/base/reset.css HTTP/1.1" 404 2075
WARNING 2019-05-26 21:05:14,204 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:05:14,206 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
WARNING 2019-05-26 21:05:14,212 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:05:14,222 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 21:05:14,236 log 228 Not Found: /images/dianshang.png
WARNING 2019-05-26 21:05:14,245 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 21:05:14,255 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:05:14,254 log 228 Not Found: /images/linux.jpg
WARNING 2019-05-26 21:05:14,258 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:05:14,264 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 21:05:14,264 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 21:05:14,274 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:05:14,274 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2072
WARNING 2019-05-26 21:05:14,276 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 21:05:14,284 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 21:05:14,291 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:05:14,290 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 21:05:14,298 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:05:14,303 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 21:05:14,310 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:05:14,315 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 21:05:14,318 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
WARNING 2019-05-26 21:05:14,330 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:05:14,330 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
INFO 2019-05-26 21:05:38,525 basehttp 154 "GET / HTTP/1.1" 200 16889
WARNING 2019-05-26 21:05:38,552 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 21:05:38,565 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:05:38,566 log 228 Not Found: /css/base/side.css
WARNING 2019-05-26 21:05:38,584 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:05:38,579 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 21:05:38,583 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:05:38,576 log 228 Not Found: /css/news/index.css
WARNING 2019-05-26 21:05:38,586 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2045
WARNING 2019-05-26 21:05:38,587 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 21:05:38,600 log 228 Not Found: /images/dianshang.png
WARNING 2019-05-26 21:05:38,610 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:05:38,618 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 21:05:38,618 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:05:38,619 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
WARNING 2019-05-26 21:05:38,620 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 21:05:38,630 log 228 Not Found: /images/linux.jpg
WARNING 2019-05-26 21:05:38,632 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 21:05:38,641 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 21:05:38,647 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 21:05:38,649 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:05:38,658 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 21:05:38,682 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2072
WARNING 2019-05-26 21:05:38,663 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 21:05:38,683 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 21:05:38,662 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:05:38,689 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 21:05:38,694 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:05:38,690 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:05:38,693 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
WARNING 2019-05-26 21:05:38,699 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:05:38,715 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:05:38,716 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
INFO 2019-05-26 21:06:06,942 basehttp 154 "GET / HTTP/1.1" 200 16905
WARNING 2019-05-26 21:06:06,973 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 21:06:06,979 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 21:06:06,990 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
INFO 2019-05-26 21:06:06,988 basehttp 154 "GET /static//css/base/side.css HTTP/1.1" 200 4428
WARNING 2019-05-26 21:06:06,987 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:06:06,996 log 228 Not Found: /images/dianshang.png
WARNING 2019-05-26 21:06:06,997 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 21:06:07,001 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:06:07,010 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 21:06:07,012 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:06:07,021 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 21:06:07,026 log 228 Not Found: /images/linux.jpg
INFO 2019-05-26 21:06:07,027 basehttp 154 "GET /static//css/news/index.css HTTP/1.1" 200 5500
WARNING 2019-05-26 21:06:07,028 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 21:06:07,029 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:06:07,039 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:06:07,039 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 21:06:07,046 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 21:06:07,047 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 21:06:07,057 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:06:07,063 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 21:06:07,071 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2072
WARNING 2019-05-26 21:06:07,077 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 21:06:07,078 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
INFO 2019-05-26 21:06:07,079 basehttp 154 "GET /static//images/wechat.jpg HTTP/1.1" 200 41182
WARNING 2019-05-26 21:06:07,085 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 21:06:07,083 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:06:07,123 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:06:07,125 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
INFO 2019-05-26 21:06:45,297 basehttp 154 "GET / HTTP/1.1" 200 16907
WARNING 2019-05-26 21:06:45,343 log 228 Not Found: /images/dianshang.png
WARNING 2019-05-26 21:06:45,346 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 21:06:45,345 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:06:45,371 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 21:06:45,372 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 21:06:45,380 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:06:45,380 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 21:06:45,387 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 21:06:45,392 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:06:45,399 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:06:45,401 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 21:06:45,402 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 21:06:45,402 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
WARNING 2019-05-26 21:06:45,409 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:06:45,410 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:06:45,426 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 21:06:45,432 log 228 Not Found: /images/linux.jpg
WARNING 2019-05-26 21:06:45,446 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 21:06:45,447 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 21:06:45,447 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
